Theta[deg],Phi[deg],re(rEPhi)[mV],im(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
68,71,-578.924,1463.58,-3359.38,6816.79
69,71,-552.912,1397.64,-3327.83,6750.77
70,71,-526.909,1331.57,-3297.78,6687.44
71,71,-500.912,1265.39,-3269.26,6626.84
72,71,-474.919,1199.11,-3242.3,6569.01
73,71,-448.923,1132.74,-3216.94,6513.98
74,71,-422.921,1066.29,-3193.21,6461.77
75,71,-396.906,999.779,-3171.13,6412.43
76,71,-370.872,933.208,-3150.74,6365.96
77,71,-344.812,866.589,-3132.08,6322.4
78,71,-318.719,799.931,-3115.16,6281.76
79,71,-292.586,733.243,-3100.01,6244.05
80,71,-266.405,666.534,-3086.66,6209.29
81,71,-240.167,599.812,-3075.13,6177.5
82,71,-213.863,533.086,-3065.45,6148.68
83,71,-187.486,466.362,-3057.64,6122.84
84,71,-161.025,399.648,-3051.71,6099.98
85,71,-134.472,332.953,-3047.69,6080.12
86,71,-107.818,266.283,-3045.59,6063.25
87,71,-81.0534,199.646,-3045.43,6049.38
88,71,-54.1683,133.048,-3047.22,6038.49
89,71,-27.1536,66.4972,-3050.97,6030.61
90,71,-3.61453e-14,-6.5366e-14,-3056.7,6025.7
-90,72,-2.51917e-13,3.48408e-13,-3871.96,6334.68
-89,72,-30.1252,61.762,-3865.85,6340.5
-88,72,-60.1109,123.589,-3861.64,6349.32
-87,72,-89.9556,185.478,-3859.33,6361.16
-86,72,-119.657,247.426,-3858.9,6376.01
-85,72,-149.215,309.43,-3860.33,6393.86
-84,72,-178.627,371.488,-3863.6,6414.72
-83,72,-207.891,433.596,-3868.71,6438.59
-82,72,-237.007,495.751,-3875.63,6465.45
-81,72,-265.971,557.948,-3884.33,6495.3
-80,72,-294.784,620.183,-3894.79,6528.13
-79,72,-323.444,682.453,-3907,6563.92
-78,72,-351.948,744.752,-3920.91,6602.67
-77,72,-380.295,807.074,-3936.5,6644.35
-76,72,-408.483,869.415,-3953.73,6688.95
-75,72,-436.511,931.767,-3972.59,6736.44
-74,72,-464.376,994.124,-3993.03,6786.8
-73,72,-492.077,1056.48,-4015.02,6840.01
-72,72,-519.611,1118.82,-4038.52,6896.03
-71,72,-546.976,1181.15,-4063.5,6954.83
-70,72,-574.17,1243.45,-4089.91,7016.37
-69,72,-601.19,1305.71,-4117.72,7080.62
-68,72,-628.034,1367.92,-4146.88,7147.54
-67,72,-654.699,1430.07,-4177.36,7217.07
-66,72,-681.181,1492.14,-4209.1,7289.17
-65,72,-707.479,1554.13,-4242.07,7363.78
-64,72,-733.589,1616.02,-4276.22,7440.85
-63,72,-759.507,1677.8,-4311.5,7520.32
-62,72,-785.23,1739.44,-4347.86,7602.13
-61,72,-810.754,1800.93,-4385.26,7686.19
-60,72,-836.076,1862.26,-4423.64,7772.45
-59,72,-861.192,1923.41,-4462.96,7860.83
-58,72,-886.098,1984.35,-4503.17,7951.23
-57,72,-910.789,2045.06,-4544.2,8043.59
-56,72,-935.262,2105.53,-4586.02,8137.81
-55,72,-959.511,2165.73,-4628.56,8233.79
-54,72,-983.532,2225.63,-4671.77,8331.43
-53,72,-1007.32,2285.22,-4715.6,8430.65
-52,72,-1030.87,2344.47,-4759.98,8531.32
-51,72,-1054.18,2403.35,-4804.86,8633.34
-50,72,-1077.24,2461.83,-4850.19,8736.59
-49,72,-1100.04,2519.88,-4895.9,8840.97
-48,72,-1122.59,2577.49,-4941.93,8946.33
-47,72,-1144.87,2634.61,-4988.23,9052.57
-46,72,-1166.87,2691.22,-5034.72,9159.54
-45,72,-1188.6,2747.29,-5081.36,9267.12
-44,72,-1210.05,2802.79,-5128.08,9375.17
-43,72,-1231.21,2857.68,-5174.8,9483.56
-42,72,-1252.07,2911.93,-5221.48,9592.14
-41,72,-1272.62,2965.51,-5268.04,9700.77
-40,72,-1292.87,3018.39,-5314.42,9809.3
-39,72,-1312.79,3070.53,-5360.55,9917.59
-38,72,-1332.39,3121.9,-5406.37,10025.5
-37,72,-1351.65,3172.47,-5451.81,10132.8
-36,72,-1370.58,3222.2,-5496.81,10239.5
-35,72,-1389.15,3271.06,-5541.29,10345.3
-34,72,-1407.36,3319.01,-5585.19,10450.1
-33,72,-1425.21,3366.03,-5628.45,10553.8
-32,72,-1442.68,3412.07,-5671,10656.1
-31,72,-1459.77,3457.11,-5712.76,10757
-30,72,-1476.46,3501.1,-5753.68,10856.3
-29,72,-1492.75,3544.03,-5793.68,10953.8
-28,72,-1508.62,3585.85,-5832.71,11049.5
-27,72,-1524.08,3626.54,-5870.7,11143
-26,72,-1539.1,3666.06,-5907.58,11234.4
-25,72,-1553.67,3704.38,-5943.29,11323.4
-24,72,-1567.79,3741.47,-5977.77,11410
-23,72,-1581.45,3777.3,-6010.96,11493.9
