Theta[deg],Phi[deg],re(rEPhi)[mV],im(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
-90,0,-6.66134e-13,-1.11022e-12,-483.113,107.952
-89,0,-93.1585,180.426,-483.081,108.458
-88,0,-185.947,361.087,-483.223,108.898
-87,0,-278.397,542.009,-483.54,109.274
-86,0,-370.542,723.217,-484.029,109.585
-85,0,-462.412,904.737,-484.688,109.832
-84,0,-554.04,1086.59,-485.514,110.014
-83,0,-645.456,1268.8,-486.503,110.133
-82,0,-736.69,1451.39,-487.65,110.187
-81,0,-827.772,1634.38,-488.95,110.178
-80,0,-918.731,1817.78,-490.396,110.104
-79,0,-1009.6,2001.6,-491.981,109.965
-78,0,-1100.39,2185.86,-493.699,109.763
-77,0,-1191.15,2370.56,-495.541,109.495
-76,0,-1281.88,2555.72,-497.498,109.162
-75,0,-1372.62,2741.32,-499.562,108.763
-74,0,-1463.39,2927.37,-501.722,108.298
-73,0,-1554.2,3113.86,-503.969,107.765
-72,0,-1645.08,3300.78,-506.291,107.165
-71,0,-1736.04,3488.12,-508.678,106.497
-70,0,-1827.09,3675.86,-511.119,105.759
-69,0,-1918.24,3863.98,-513.602,104.951
-68,0,-2009.51,4052.45,-516.115,104.072
-67,0,-2100.9,4241.24,-518.645,103.12
-66,0,-2192.42,4430.32,-521.181,102.095
-65,0,-2284.06,4619.64,-523.71,100.995
-64,0,-2375.83,4809.16,-526.219,99.8193
-63,0,-2467.72,4998.84,-528.696,98.5663
-62,0,-2559.72,5188.63,-531.128,97.2347
-61,0,-2651.82,5378.46,-533.503,95.8231
-60,0,-2744.01,5568.28,-535.807,94.33
-59,0,-2836.27,5758.02,-538.029,92.7539
-58,0,-2928.59,5947.61,-540.156,91.0932
-57,0,-3020.93,6136.98,-542.176,89.3465
-56,0,-3113.27,6326.06,-544.077,87.5121
-55,0,-3205.58,6514.76,-545.847,85.5885
-54,0,-3297.83,6703.01,-547.476,83.5741
-53,0,-3389.98,6890.7,-548.951,81.4673
-52,0,-3481.98,7077.77,-550.262,79.2665
-51,0,-3573.8,7264.1,-551.399,76.9704
-50,0,-3665.39,7449.6,-552.351,74.5773
-49,0,-3756.69,7634.18,-553.11,72.086
-48,0,-3847.66,7817.73,-553.665,69.495
-47,0,-3938.24,8000.14,-554.009,66.8032
-46,0,-4028.37,8181.31,-554.132,64.0095
-45,0,-4118,8361.13,-554.027,61.1128
-44,0,-4207.05,8539.48,-553.687,58.1123
-43,0,-4295.46,8716.26,-553.106,55.0074
-42,0,-4383.17,8891.33,-552.276,51.7974
-41,0,-4470.11,9064.6,-551.192,48.482
-40,0,-4556.2,9235.92,-549.85,45.0612
-39,0,-4641.37,9405.2,-548.245,41.535
-38,0,-4725.56,9572.29,-546.372,37.9037
-37,0,-4808.68,9737.08,-544.228,34.1681
-36,0,-4890.67,9899.45,-541.81,30.3288
-35,0,-4971.44,10059.3,-539.117,26.3872
-34,0,-5050.93,10216.4,-536.146,22.3447
-33,0,-5129.06,10370.7,-532.897,18.203
-32,0,-5205.75,10522.1,-529.368,13.9642
-31,0,-5280.93,10670.5,-525.561,9.63073
-30,0,-5354.53,10815.6,-521.474,5.20539
-29,0,-5426.47,10957.5,-517.111,0.691247
-28,0,-5496.68,11095.9,-512.471,-3.90826
-27,0,-5565.09,11230.8,-507.558,-8.58934
-26,0,-5631.64,11362,-502.375,-13.3479
-25,0,-5696.26,11489.4,-496.924,-18.1794
-24,0,-5758.88,11612.9,-491.209,-23.0791
-23,0,-5819.44,11732.3,-485.236,-28.0418
-22,0,-5877.89,11847.6,-479.008,-33.0621
-21,0,-5934.15,11958.7,-472.53,-38.1343
-20,0,-5988.18,12065.3,-465.809,-43.2523
-19,0,-6039.92,12167.5,-458.851,-48.4098
-18,0,-6089.33,12265.1,-451.661,-53.6002
-17,0,-6136.35,12358.1,-444.248,-58.8168
-16,0,-6180.94,12446.2,-436.618,-64.0525
-15,0,-6223.06,12529.5,-428.779,-69.3002
-14,0,-6262.67,12607.9,-420.738,-74.5526
-13,0,-6299.73,12681.2,-412.504,-79.8022
-12,0,-6334.21,12749.3,-404.086,-85.0414
-11,0,-6366.07,12812.3,-395.492,-90.2627
-10,0,-6395.3,12870.1,-386.73,-95.4584
-9,0,-6421.87,12922.5,-377.811,-100.621
-8,0,-6445.75,12969.5,-368.742,-105.743
-7,0,-6466.93,13011.1,-359.534,-110.816
-6,0,-6485.38,13047.3,-350.195,-115.834
-5,0,-6501.11,13077.9,-340.735,-120.788
-4,0,-6514.09,13103,-331.164,-125.673
-3,0,-6524.32,13122.5,-321.49,-130.481
-2,0,-6531.8,13136.4,-311.723,-135.206
-1,0,-6536.52,13144.7,-301.872,-139.841
0,0,-6538.49,13147.3,-291.946,-144.38
1,0,-6537.7,13144.4,-281.955,-148.818
2,0,-6534.17,13135.9,-271.907,-153.149
3,0,-6527.9,13121.7,-261.809,-157.369
4,0,-6518.91,13102,-251.672,-161.473
5,0,-6507.2,13076.7,-241.503,-165.458
6,0,-6492.8,13045.9,-231.309,-169.319
7,0,-6475.72,13009.6,-221.099,-173.055
8,0,-6455.98,12967.9,-210.879,-176.662
9,0,-6433.61,12920.8,-200.657,-180.138
10,0,-6408.62,12868.3,-190.438,-183.483
11,0,-6381.06,12810.6,-180.23,-186.696
12,0,-6350.95,12747.6,-170.038,-189.775
13,0,-6318.31,12679.6,-159.868,-192.723
14,0,-6283.19,12606.4,-149.724,-195.538
15,0,-6245.63,12528.3,-139.613,-198.224
16,0,-6205.65,12445.4,-129.538,-200.782
17,0,-6163.29,12357.6,-119.503,-203.214
18,0,-6118.62,12265.1,-109.513,-205.524
19,0,-6071.65,12168,-99.5706,-207.715
20,0,-6022.45,12066.5,-89.6796,-209.791
21,0,-5971.05,11960.5,-79.8428,-211.757
22,0,-5917.52,11850.3,-70.063,-213.617
23,0,-5861.89,11735.9,-60.3426,-215.378
24,0,-5804.23,11617.5,-50.684,-217.044
25,0,-5744.58,11495.1,-41.0891,-218.621
26,0,-5683.01,11369,-31.56,-220.117
27,0,-5619.56,11239.1,-22.0983,-221.537
28,0,-5554.3,11105.7,-12.7058,-222.888
29,0,-5487.29,10968.8,-3.38388,-224.178
30,0,-5418.59,10828.6,5.86591,-225.414
31,0,-5348.25,10685.2,15.0421,-226.602
32,0,-5276.34,10538.8,24.1434,-227.751
33,0,-5202.92,10389.4,33.1683,-228.866
34,0,-5128.06,10237.1,42.1153,-229.957
35,0,-5051.82,10082.2,50.9831,-231.029
36,0,-4974.25,9924.71,59.77,-232.089
37,0,-4895.43,9764.73,68.4745,-233.145
38,0,-4815.41,9602.42,77.0947,-234.203
39,0,-4734.27,9437.89,85.629,-235.27
40,0,-4652.05,9271.25,94.0752,-236.35
41,0,-4568.83,9102.61,102.431,-237.451
42,0,-4484.65,8932.1,110.695,-238.577
43,0,-4399.59,8759.8,118.864,-239.732
44,0,-4313.69,8585.85,126.936,-240.922
45,0,-4227.01,8410.33,134.909,-242.15
46,0,-4139.62,8233.35,142.778,-243.42
47,0,-4051.55,8055.01,150.543,-244.733
48,0,-3962.86,7875.4,158.198,-246.093
49,0,-3873.61,7694.61,165.742,-247.501
50,0,-3783.83,7512.75,173.171,-248.958
51,0,-3693.57,7329.88,180.482,-250.465
52,0,-3602.88,7146.1,187.671,-252.021
53,0,-3511.78,6961.49,194.735,-253.626
54,0,-3420.33,6776.12,201.669,-255.278
55,0,-3328.55,6590.06,208.472,-256.975
56,0,-3236.48,6403.39,215.139,-258.715
57,0,-3144.14,6216.18,221.666,-260.494
58,0,-3051.56,6028.49,228.049,-262.31
59,0,-2958.76,5840.37,234.286,-264.157
60,0,-2865.77,5651.89,240.373,-266.031
61,0,-2772.6,5463.1,246.306,-267.927
62,0,-2679.28,5274.05,252.082,-269.839
63,0,-2585.8,5084.8,257.697,-271.762
64,0,-2492.19,4895.38,263.148,-273.688
65,0,-2398.45,4705.84,268.433,-275.611
66,0,-2304.58,4516.21,273.548,-277.525
67,0,-2210.6,4326.54,278.49,-279.421
68,0,-2116.5,4136.86,283.257,-281.293
69,0,-2022.28,3947.2,287.845,-283.132
70,0,-1927.94,3757.58,292.253,-284.932
71,0,-1833.47,3568.04,296.477,-286.685
72,0,-1738.88,3378.6,300.516,-288.382
73,0,-1644.14,3189.27,304.368,-290.017
74,0,-1549.26,3000.08,308.031,-291.582
75,0,-1454.22,2811.04,311.502,-293.069
76,0,-1359.01,2622.17,314.78,-294.471
77,0,-1263.62,2433.49,317.863,-295.782
78,0,-1168.04,2244.99,320.75,-296.995
79,0,-1072.24,2056.7,323.439,-298.104
80,0,-976.221,1868.61,325.929,-299.102
81,0,-879.962,1680.74,328.218,-299.986
82,0,-783.445,1493.09,330.306,-300.749
83,0,-686.655,1305.66,332.192,-301.387
84,0,-589.574,1118.46,333.873,-301.897
85,0,-492.185,931.484,335.35,-302.275
86,0,-394.471,744.735,336.622,-302.518
87,0,-296.413,558.213,337.687,-302.625
88,0,-197.993,371.918,338.545,-302.594
89,0,-99.195,185.847,339.195,-302.424
90,0,-6.66134e-13,6.66134e-13,339.636,-302.114
-90,1,-6.6579e-13,-6.66517e-13,-543.497,208.354
-89,1,-93.049,180.428,-543.368,208.961
-88,1,-185.728,361.09,-543.447,209.57
-87,1,-278.069,542.012,-543.732,210.181
-86,1,-370.104,723.222,-544.221,210.794
-85,1,-461.865,904.742,-544.912,211.411
-84,1,-553.382,1086.6,-545.801,212.03
-83,1,-644.688,1268.81,-546.884,212.651
-82,1,-735.813,1451.4,-548.155,213.274
-81,1,-826.785,1634.39,-549.61,213.9
-80,1,-917.635,1817.78,-551.241,214.526
-79,1,-1008.39,2001.61,-553.042,215.152
-78,1,-1099.08,2185.87,-555.005,215.778
-77,1,-1189.72,2370.57,-557.122,216.403
-76,1,-1280.35,2555.72,-559.383,217.024
-75,1,-1370.98,2741.32,-561.78,217.642
-74,1,-1461.63,2927.37,-564.301,218.255
-73,1,-1552.34,3113.86,-566.937,218.86
-72,1,-1643.1,3300.79,-569.677,219.457
-71,1,-1733.95,3488.13,-572.51,220.043
-70,1,-1824.89,3675.87,-575.423,220.617
-69,1,-1915.94,3863.98,-578.405,221.177
-68,1,-2007.1,4052.45,-581.442,221.72
-67,1,-2098.38,4241.24,-584.524,222.244
-66,1,-2189.79,4430.32,-587.637,222.746
-65,1,-2281.33,4619.64,-590.767,223.225
-64,1,-2372.99,4809.17,-593.902,223.676
-63,1,-2464.77,4998.85,-597.029,224.099
-62,1,-2556.67,5188.63,-600.135,224.488
-61,1,-2648.67,5378.47,-603.206,224.843
-60,1,-2740.76,5568.29,-606.229,225.158
-59,1,-2832.92,5758.03,-609.191,225.432
-58,1,-2925.13,5947.62,-612.079,225.661
-57,1,-3017.37,6137,-614.88,225.842
-56,1,-3109.62,6326.08,-617.581,225.97
-55,1,-3201.83,6514.79,-620.171,226.044
-54,1,-3293.98,6703.04,-622.636,226.058
-53,1,-3386.03,6890.74,-624.965,226.01
-52,1,-3477.94,7077.81,-627.146,225.895
-51,1,-3569.67,7264.14,-629.168,225.711
-50,1,-3661.17,7449.65,-631.02,225.453
-49,1,-3752.39,7634.24,-632.691,225.118
-48,1,-3843.27,7817.79,-634.171,224.702
-47,1,-3933.77,8000.21,-635.45,224.201
-46,1,-4023.82,8181.39,-636.519,223.613
-45,1,-4113.36,8361.22,-637.369,222.933
-44,1,-4202.34,8539.58,-637.992,222.158
-43,1,-4290.67,8716.36,-638.379,221.285
-42,1,-4378.31,8891.45,-638.524,220.311
-41,1,-4465.17,9064.72,-638.418,219.232
-40,1,-4551.19,9236.06,-638.057,218.046
-39,1,-4636.3,9405.34,-637.433,216.75
-38,1,-4720.42,9572.45,-636.542,215.342
-37,1,-4803.48,9737.25,-635.379,213.82
-36,1,-4885.41,9899.62,-633.939,212.18
-35,1,-4966.13,10059.5,-632.219,210.423
-34,1,-5045.56,10216.6,-630.216,208.546
-33,1,-5123.63,10370.9,-627.927,206.548
-32,1,-5200.27,10522.4,-625.35,204.428
-31,1,-5275.4,10670.7,-622.485,202.186
-30,1,-5348.95,10815.9,-619.329,199.822
-29,1,-5420.85,10957.8,-615.882,197.335
-28,1,-5491.02,11096.2,-612.146,194.727
-27,1,-5559.39,11231.1,-608.12,191.998
-26,1,-5625.9,11362.3,-603.806,189.15
-25,1,-5690.48,11489.7,-599.206,186.183
-24,1,-5753.07,11613.2,-594.323,183.101
-23,1,-5813.6,11732.7,-589.158,179.905
-22,1,-5872.01,11848,-583.717,176.598
-21,1,-5928.25,11959,-578.002,173.184
-20,1,-5982.25,12065.7,-572.018,169.665
-19,1,-6033.97,12167.9,-565.769,166.046
-18,1,-6083.35,12265.5,-559.262,162.331
-17,1,-6130.35,12358.5,-552.502,158.523
-16,1,-6174.93,12446.7,-545.495,154.629
-15,1,-6217.03,12530,-538.248,150.652
-14,1,-6256.62,12608.3,-530.767,146.599
-13,1,-6293.67,12681.6,-523.06,142.474
-12,1,-6328.14,12749.8,-515.134,138.284
-11,1,-6359.99,12812.8,-506.998,134.033
-10,1,-6389.22,12870.6,-498.658,129.729
-9,1,-6415.77,12923,-490.125,125.377
-8,1,-6439.65,12970,-481.405,120.984
-7,1,-6460.82,13011.6,-472.508,116.556
-6,1,-6479.28,13047.8,-463.442,112.098
-5,1,-6495,13078.4,-454.217,107.618
-4,1,-6507.98,13103.5,-444.841,103.122
-3,1,-6518.22,13123,-435.324,98.6156
-2,1,-6525.7,13136.9,-425.675,94.105
-1,1,-6530.43,13145.2,-415.902,89.5962
0,1,-6532.4,13147.9,-406.014,85.0949
1,1,-6531.62,13144.9,-396.022,80.6067
2,1,-6528.1,13136.4,-385.932,76.1369
3,1,-6521.84,13122.2,-375.755,71.6906
4,1,-6512.85,13102.5,-365.498,67.2725
5,1,-6501.16,13077.2,-355.17,62.887
6,1,-6486.77,13046.4,-344.779,58.5383
7,1,-6469.7,13010.1,-334.333,54.2301
8,1,-6449.97,12968.3,-323.84,49.9658
9,1,-6427.62,12921.2,-313.306,45.7483
10,1,-6402.65,12868.7,-302.74,41.5803
11,1,-6375.11,12811,-292.148,37.464
12,1,-6345.02,12748,-281.536,33.4009
13,1,-6312.4,12679.9,-270.911,29.3925
14,1,-6277.31,12606.8,-260.279,25.4397
15,1,-6239.76,12528.6,-249.646,21.5427
16,1,-6199.8,12445.6,-239.016,17.7017
17,1,-6157.48,12357.8,-228.396,13.9163
18,1,-6112.83,12265.3,-217.789,10.1855
19,1,-6065.89,12168.2,-207.2,6.50814
20,1,-6016.72,12066.6,-196.635,2.88262
21,1,-5965.36,11960.6,-186.095,-0.693099
22,1,-5911.86,11850.4,-175.586,-4.22136
23,1,-5856.27,11736,-165.112,-7.70484
24,1,-5798.64,11617.5,-154.674,-11.1465
25,1,-5739.03,11495.1,-144.278,-14.5497
26,1,-5677.5,11368.9,-133.925,-17.9178
27,1,-5614.09,11239,-123.619,-21.2546
28,1,-5548.88,11105.6,-113.363,-24.5639
29,1,-5481.91,10968.6,-103.159,-27.8498
30,1,-5413.25,10828.4,-93.0103,-31.1165
31,1,-5342.96,10685,-82.9196,-34.368
32,1,-5271.11,10538.5,-72.8896,-37.6088
33,1,-5197.75,10389.1,-62.9229,-40.8429
34,1,-5122.94,10236.8,-53.0224,-44.0746
35,1,-5046.75,10081.8,-43.1909,-47.3079
36,1,-4969.25,9924.3,-33.4312,-50.5468
37,1,-4890.49,9764.3,-23.7463,-53.795
38,1,-4810.54,9601.96,-14.1394,-57.0561
39,1,-4729.46,9437.4,-4.61353,-60.3335
40,1,-4647.31,9270.73,4.82792,-63.6301
41,1,-4564.15,9102.07,14.1815,-66.9487
42,1,-4480.05,8931.52,23.4437,-70.2916
43,1,-4395.06,8759.21,32.6109,-73.6608
44,1,-4309.24,8585.23,41.679,-77.0579
45,1,-4222.64,8409.69,50.6443,-80.484
46,1,-4135.32,8232.69,59.5026,-83.9398
47,1,-4047.34,8054.33,68.2498,-87.4255
48,1,-3958.74,7874.71,76.8814,-90.9407
49,1,-3869.57,7693.91,85.3931,-94.4846
50,1,-3779.88,7512.03,93.7803,-98.0558
51,1,-3689.71,7329.16,102.039,-101.653
52,1,-3599.1,7145.37,110.163,-105.272
53,1,-3508.1,6960.75,118.149,-108.912
54,1,-3416.74,6775.37,125.993,-112.569
55,1,-3325.05,6589.32,133.688,-116.238
56,1,-3233.07,6402.65,141.232,-119.916
57,1,-3140.83,6215.43,148.618,-123.596
58,1,-3048.35,6027.74,155.842,-127.274
59,1,-2955.65,5839.63,162.9,-130.944
60,1,-2862.76,5651.15,169.787,-134.6
61,1,-2769.69,5462.37,176.499,-138.234
62,1,-2676.46,5273.34,183.032,-141.839
63,1,-2583.09,5084.09,189.381,-145.409
64,1,-2489.57,4894.68,195.542,-148.935
65,1,-2395.93,4705.16,201.511,-152.409
66,1,-2302.17,4515.55,207.286,-155.823
67,1,-2208.29,4325.89,212.861,-159.17
68,1,-2114.29,4136.23,218.234,-162.439
69,1,-2020.17,3946.59,223.401,-165.624
70,1,-1925.93,3756.99,228.359,-168.714
71,1,-1831.57,3567.47,233.106,-171.702
72,1,-1737.07,3378.05,237.637,-174.579
73,1,-1642.44,3188.75,241.952,-177.338
74,1,-1547.66,2999.58,246.047,-179.968
75,1,-1452.72,2810.57,249.92,-182.463
76,1,-1357.62,2621.73,253.569,-184.816
77,1,-1262.33,2433.07,256.991,-187.017
78,1,-1166.84,2244.61,260.185,-189.062
79,1,-1071.15,2056.34,263.15,-190.942
80,1,-975.228,1868.29,265.883,-192.652
81,1,-879.068,1680.45,268.382,-194.186
82,1,-782.651,1492.83,270.647,-195.538
83,1,-685.96,1305.43,272.676,-196.705
84,1,-588.979,1118.26,274.467,-197.682
85,1,-491.689,931.318,276.02,-198.466
86,1,-394.074,744.602,277.333,-199.053
87,1,-296.115,558.114,278.405,-199.442
88,1,-197.795,371.851,279.236,-199.631
89,1,-99.0958,185.814,279.824,-199.62
90,1,-2.22374e-13,-4.43477e-13,280.168,-199.408
-90,2,-1.33121e-12,-1.45298e-15,-603.876,308.709
-89,2,-92.9157,180.385,-603.652,309.417
-88,2,-185.462,361.005,-603.667,310.194
-87,2,-277.669,541.884,-603.919,311.041
-86,2,-369.571,723.05,-604.408,311.958
-85,2,-461.199,904.527,-605.129,312.944
-84,2,-552.584,1086.34,-606.079,314
-83,2,-643.757,1268.51,-607.254,315.125
-82,2,-734.748,1451.05,-608.649,316.318
-81,2,-825.587,1633.99,-610.256,317.579
-80,2,-916.304,1817.34,-612.071,318.906
-79,2,-1006.93,2001.12,-614.085,320.298
-78,2,-1097.48,2185.33,-616.291,321.754
-77,2,-1187.99,2369.98,-618.68,323.271
-76,2,-1278.48,2555.09,-621.242,324.849
-75,2,-1368.98,2740.64,-623.968,326.484
-74,2,-1459.5,2926.64,-626.848,328.176
-73,2,-1550.07,3113.08,-629.871,329.92
-72,2,-1640.71,3299.95,-633.025,331.715
-71,2,-1731.42,3487.24,-636.299,333.557
-70,2,-1822.23,3674.93,-639.68,335.444
-69,2,-1913.15,3862.99,-643.157,337.373
-68,2,-2004.18,4051.41,-646.717,339.339
-67,2,-2095.33,4240.15,-650.346,341.339
-66,2,-2186.6,4429.17,-654.031,343.37
-65,2,-2278.01,4618.44,-657.76,345.428
-64,2,-2369.54,4807.91,-661.517,347.508
-63,2,-2461.19,4997.54,-665.291,349.606
-62,2,-2552.96,5187.27,-669.066,351.718
-61,2,-2644.83,5377.05,-672.83,353.838
-60,2,-2736.79,5566.81,-676.567,355.964
-59,2,-2828.82,5756.5,-680.266,358.088
-58,2,-2920.9,5946.04,-683.911,360.207
-57,2,-3013.02,6135.36,-687.49,362.315
-56,2,-3105.14,6324.39,-690.989,364.407
-55,2,-3197.23,6513.04,-694.394,366.477
-54,2,-3289.26,6701.23,-697.693,368.521
-53,2,-3381.19,6888.88,-700.873,370.531
-52,2,-3472.98,7075.9,-703.922,372.503
-51,2,-3564.59,7262.18,-706.826,374.43
-50,2,-3655.97,7447.64,-709.575,376.307
-49,2,-3747.07,7632.17,-712.156,378.128
-48,2,-3837.84,7815.67,-714.559,379.887
-47,2,-3928.23,7998.04,-716.772,381.578
-46,2,-4018.16,8179.17,-718.785,383.195
-45,2,-4107.6,8358.95,-720.589,384.731
-44,2,-4196.46,8537.26,-722.172,386.182
-43,2,-4284.7,8713.99,-723.527,387.54
-42,2,-4372.23,8889.03,-724.644,388.801
-41,2,-4458.99,9062.25,-725.515,389.959
-40,2,-4544.92,9233.54,-726.133,391.007
-39,2,-4629.93,9402.78,-726.491,391.942
-38,2,-4713.95,9569.84,-726.581,392.756
-37,2,-4796.92,9734.6,-726.398,393.446
-36,2,-4878.76,9896.93,-725.935,394.007
-35,2,-4959.39,10056.7,-725.188,394.433
-34,2,-5038.74,10213.8,-724.152,394.721
-33,2,-5116.73,10368.1,-722.824,394.867
-32,2,-5193.29,10519.5,-721.199,394.866
-31,2,-5268.35,10667.8,-719.275,394.715
-30,2,-5341.82,10813,-717.05,394.412
-29,2,-5413.64,10954.8,-714.521,393.953
-28,2,-5483.75,11093.2,-711.687,393.335
-27,2,-5552.06,11228.1,-708.549,392.558
-26,2,-5618.5,11359.2,-705.105,391.62
-25,2,-5683.03,11486.6,-701.356,390.518
-24,2,-5745.56,11610.1,-697.304,389.253
-23,2,-5806.03,11729.5,-692.949,387.824
-22,2,-5864.39,11844.8,-688.295,386.231
-21,2,-5920.58,11955.8,-683.342,384.474
-20,2,-5974.54,12062.5,-678.096,382.555
-19,2,-6026.21,12164.7,-672.558,380.474
-18,2,-6075.56,12262.3,-666.734,378.234
-17,2,-6122.52,12355.2,-660.628,375.836
-16,2,-6167.06,12443.3,-654.244,373.283
-15,2,-6209.13,12526.6,-647.589,370.578
-14,2,-6248.69,12604.9,-640.669,367.724
-13,2,-6285.71,12678.2,-633.489,364.724
-12,2,-6320.15,12746.4,-626.056,361.582
-11,2,-6351.99,12809.4,-618.377,358.303
-10,2,-6381.19,12867.1,-610.46,354.891
-9,2,-6407.74,12919.5,-602.312,351.35
-8,2,-6431.6,12966.6,-593.942,347.685
-7,2,-6452.76,13008.2,-585.356,343.901
-6,2,-6471.2,13044.3,-576.564,340.005
-5,2,-6486.92,13074.9,-567.574,335.999
-4,2,-6499.9,13100,-558.394,331.892
-3,2,-6510.13,13119.5,-549.034,327.687
-2,2,-6517.61,13133.4,-539.502,323.39
-1,2,-6522.34,13141.7,-529.807,319.007
0,2,-6524.32,13144.4,-519.959,314.544
1,2,-6523.54,13141.4,-509.965,310.005
2,2,-6520.03,13132.9,-499.835,305.397
3,2,-6513.78,13118.7,-489.577,300.724
4,2,-6504.81,13099,-479.201,295.992
5,2,-6493.13,13073.7,-468.715,291.205
6,2,-6478.76,13042.9,-458.126,286.369
7,2,-6461.71,13006.6,-447.445,281.488
8,2,-6442.01,12964.8,-436.678,276.566
9,2,-6419.67,12917.7,-425.834,271.607
10,2,-6394.73,12865.2,-414.921,266.616
11,2,-6367.22,12807.5,-403.945,261.595
12,2,-6337.15,12744.5,-392.914,256.548
13,2,-6304.57,12676.4,-381.835,251.478
14,2,-6269.51,12603.3,-370.714,246.388
15,2,-6232,12525.2,-359.559,241.28
16,2,-6192.08,12442.2,-348.376,236.155
17,2,-6149.8,12354.4,-337.17,231.016
18,2,-6105.19,12261.9,-325.947,225.864
19,2,-6058.29,12164.8,-314.713,220.7
20,2,-6009.17,12063.2,-303.473,215.525
21,2,-5957.86,11957.2,-292.232,210.339
22,2,-5904.4,11846.9,-280.995,205.142
23,2,-5848.87,11732.5,-269.766,199.936
24,2,-5791.3,11614.1,-258.551,194.718
25,2,-5731.74,11491.7,-247.354,189.489
26,2,-5670.27,11365.5,-236.178,184.248
27,2,-5606.93,11235.6,-225.029,178.995
28,2,-5541.78,11102.2,-213.91,173.728
29,2,-5474.88,10965.3,-202.826,168.446
30,2,-5406.29,10825.1,-191.78,163.149
31,2,-5336.08,10681.7,-180.776,157.835
32,2,-5264.29,10535.2,-169.818,152.502
33,2,-5191.01,10385.8,-158.912,147.15
34,2,-5116.28,10233.5,-148.059,141.778
35,2,-5040.18,10078.6,-137.266,136.384
36,2,-4962.76,9921.04,-126.535,130.968
37,2,-4884.08,9761.07,-115.872,125.528
38,2,-4804.22,9598.75,-105.28,120.065
39,2,-4723.23,9434.21,-94.7644,114.578
40,2,-4641.18,9267.57,-84.3298,109.067
41,2,-4558.12,9098.94,-73.9809,103.532
42,2,-4474.12,8928.43,-63.7226,97.9736
43,2,-4389.23,8756.15,-53.56,92.3926
44,2,-4303.51,8582.2,-43.4981,86.7903
45,2,-4217.02,8406.7,-33.5422,81.1682
46,2,-4129.81,8229.74,-23.6979,75.5283
47,2,-4041.93,8051.42,-13.9705,69.873
48,2,-3953.44,7871.84,-4.3656,64.2052
49,2,-3864.38,7691.08,5.11104,58.5282
50,2,-3774.81,7509.25,14.4537,52.8457
51,2,-3684.75,7326.42,23.6566,47.1618
52,2,-3594.27,7142.68,32.7139,41.4814
53,2,-3503.38,6958.11,41.6198,35.8094
54,2,-3412.14,6772.79,50.3684,30.1516
55,2,-3320.58,6586.79,58.9539,24.5138
56,2,-3228.72,6400.17,67.3705,18.9025
57,2,-3136.6,6213.02,75.6125,13.3247
58,2,-3044.24,6025.38,83.6742,7.78749
59,2,-2951.67,5837.33,91.5501,2.29862
60,2,-2858.9,5648.92,99.2347,-3.13394
61,2,-2765.96,5460.2,106.723,-8.5019
62,2,-2672.86,5271.23,114.009,-13.7967
63,2,-2579.61,5082.05,121.088,-19.0093
64,2,-2486.23,4892.7,127.956,-24.1309
65,2,-2392.72,4703.24,134.607,-29.1521
66,2,-2299.09,4513.7,141.038,-34.0635
67,2,-2205.33,4324.12,147.243,-38.8556
68,2,-2111.46,4134.53,153.219,-43.519
69,2,-2017.47,3944.96,158.962,-48.044
70,2,-1923.36,3755.43,164.468,-52.4212
71,2,-1829.13,3565.99,169.734,-56.6411
72,2,-1734.76,3376.64,174.755,-60.6945
73,2,-1640.26,3187.41,179.53,-64.5722
74,2,-1545.61,2998.32,184.055,-68.2655
75,2,-1450.8,2809.39,188.328,-71.7656
76,2,-1355.82,2620.62,192.345,-75.0644
77,2,-1260.66,2432.04,196.105,-78.1539
78,2,-1165.3,2243.65,199.604,-81.0266
79,2,-1069.74,2055.47,202.842,-83.6755
80,2,-973.948,1867.49,205.816,-86.094
81,2,-877.916,1679.73,208.523,-88.2761
82,2,-781.627,1492.19,210.963,-90.2163
83,2,-685.064,1304.88,213.134,-91.9098
84,2,-588.211,1117.78,215.034,-93.3523
85,2,-491.049,930.921,216.662,-94.5402
86,2,-393.562,744.285,218.015,-95.4705
87,2,-295.731,557.876,219.094,-96.1411
88,2,-197.539,371.693,219.897,-96.5504
89,2,-98.9676,185.735,220.423,-96.6975
90,2,-7.77894e-13,7.26492e-16,220.67,-96.5824
-90,3,-4.41665e-13,-2.22467e-13,-664.241,409.019
-89,3,-92.7589,180.299,-663.921,409.828
-88,3,-185.148,360.832,-663.871,410.773
-87,3,-277.199,541.625,-664.091,411.856
-86,3,-368.945,722.703,-664.578,413.076
-85,3,-460.416,904.091,-665.328,414.433
-84,3,-551.645,1085.81,-666.339,415.926
-83,3,-642.662,1267.89,-667.605,417.554
-82,3,-733.497,1450.35,-669.12,419.318
-81,3,-824.18,1633.19,-670.879,421.214
-80,3,-914.74,1816.45,-672.875,423.242
-79,3,-1005.21,2000.13,-675.1,425.4
-78,3,-1095.6,2184.25,-677.545,427.686
-77,3,-1185.96,2368.81,-680.203,430.097
-76,3,-1276.29,2553.82,-683.064,432.631
-75,3,-1366.63,2739.27,-686.117,435.285
-74,3,-1457,2925.17,-689.351,438.055
-73,3,-1547.42,3111.51,-692.757,440.939
